Transaction Id,Item-1,item-2,Item-3,Item-4,Item-5,Item-6,Item-7,Item-8,Item-9,Item-10,Item-11,Item-12
5527871,pastry,soda,,,,,,,,,,
7644011,fruit/vegetable juice,,,,,,,,,,,
5472260,canned beer,,,,,,,,,,,
9674103,root vegetables,other vegetables,whole milk,dessert,,,,,,,,
7727194,citrus fruit,zwieback,newspapers,,specialty bar,shopping bags,,,,,,
7904553,sausage,rolls/buns,soda,canned beer,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles
7417313,tropical fruit,root vegetables,whole milk,yogurt,,,,,,,,
7495024,berries,yogurt,,,,,,,,,,
7401888,canned beer,,,,rolls/buns,bottled water,soda,newspapers,,,,
3894069,butter milk,yogurt,cream cheese ,spread cheese,,,,,,,,
9534970,coffee,,,,,,,,,,,
6706573,pastry,bottled water,,,,,,,,,,
4580433,rolls/buns,,,,,,,,,,,
9622773,misc. beverages,,,,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,
5414145,root vegetables,other vegetables,butter,curd,,,,,,,,
8490911,sausage,rolls/buns,cat food,newspapers,,,,,,,,
1897959,canned beer,,,,,,,,,,,
5219431,ham,grapes,other vegetables,whole milk,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,
7389857,turkey,tropical fruit,other vegetables,curd,soda,,,,,,,
2882809,whole milk,yogurt,processed cheese,pickled vegetables,,,,,,,,
7187179,whole milk,curd,yogurt,pastry,,,,,,,,
6888028,packaged fruit/vegetables,brown bread,canned beer,,chocolate marshmallow,hygiene articles,napkins,,,,,
5585992,rolls/buns,oil,bottled water,chewing gum,rolls/buns,cat food,,,,,,
7057172,ham,beef,whipped/sour cream,ice cream,,,,,,,,
3990524,rolls/buns,pastry,sugar,,salty snack,seasonal products,detergent,,,,,
9513223,other vegetables,whole milk,frozen vegetables,canned fish,,,,,,,,
3584632,sausage,pastry,,,,,,,,,,
3750037,sausage,beef,whole milk,,sugar,,,,,,,
9354132,frankfurter,tropical fruit,rolls/buns,brown bread,,,,,,,,
7718936,rolls/buns,pastry,soda,,,,,,,,,
6255630,whole milk,,,,,,,,,,,
1973002,curd cheese,coffee,,,,,,,,,,
1207241,red/blush wine,newspapers,,,,,,,,,,
3614999,sausage,whole milk,curd,,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,
7726964,tropical fruit,pip fruit,berries,whole milk,,,,,,,,
4767963,red/blush wine,,,,specialty chocolate,candles,flower (seeds),,,,,
8741507,whole milk,butter,margarine,specialty fat,oil,sparkling wine,specialty chocolate,newspapers,,,,
7735780,frankfurter,citrus fruit,whole milk,domestic eggs,,,,,,,,
4859334,whole milk,meat spreads,soda,,,,,,,,,
6328138,frozen potato products,,,,,,,,,,,
8616312,other vegetables,whole milk,rolls/buns,sugar,pastry,,,,,,,
7969927,citrus fruit,whole milk,curd,butter milk,bottled beer,,,,,,,
8211735,flour,salt,bottled water,fruit/vegetable juice,,,,,,,,
2221558,sugar,bottled water,soda,bottled beer,,,,,,,,
7714755,frozen meals,coffee,,,,,,,,,,
8027356,chocolate,,,,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,
7982102,root vegetables,whole milk,frozen vegetables,domestic eggs,,,,,,,,
7398042,root vegetables,onions,hard cheese,frozen vegetables,oil,white wine,candles,,,,,
4897243,herbs,condensed milk,frozen vegetables,salt,,,,,,,,
7900230,bottled water,,,,rolls/buns,brandy,detergent,,,,,
6223003,sausage,root vegetables,onions,yogurt,,,,,,,,
7411783,coffee,newspapers,,,,,,,,,,
6702568,pork,other vegetables,whipped/sour cream,,,,,,,,,
7803115,berries,yogurt,,,,,,,,,,
5156923,soda,,,,,,,,,,,
5340299,berries,,,,,,,,,,,
7878665,fruit/vegetable juice,salty snack,candles,,,,,,,,,
4462855,citrus fruit,butter milk,yogurt,cream cheese ,onions,whipped/sour cream,rice,coffee,chocolate,,,
4763687,pork,hamburger meat,citrus fruit,berries,,,,,,,,
2224644,detergent,,,,,,,,,,,
9871740,grapes,photo/film,,,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,
8088720,sausage,sliced cheese,rolls/buns,brown bread,root vegetables,other vegetables,butter,pasta,oil,detergent,,
3033517,chicken,hamburger meat,citrus fruit,tropical fruit,,,,,,,,
3405715,whole milk,yogurt,brown bread,,,,,,,,,
5353850,citrus fruit,tropical fruit,,,,,,,,,,
9803215,soda,misc. beverages,,,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,
1003304,sausage,pork,grapes,whole milk,,,,,,,,
8006219,frankfurter,rolls/buns,bottled water,,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,
9654686,sausage,whole milk,yogurt,coffee,,,,,,,,
8278253,soda,,,,,,,,,,,
1001285,rolls/buns,fruit/vegetable juice,,,brown bread,detergent,,,,,,
6376403,beef,citrus fruit,berries,root vegetables,waffles,candy,cling film/bags,,,,,
8334034,whole milk,whipped/sour cream,rolls/buns,soda,,,,,,,,
9359316,processed cheese,,,,,,,,,,,
7216358,tropical fruit,pip fruit,,,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,
5149438,frankfurter,sausage,root vegetables,other vegetables,,,,,,,,
2439442,packaged fruit/vegetables,bottled water,,,margarine,bottled water,red/blush wine,newspapers,,,,
3976119,whole milk,dessert,frozen vegetables,rolls/buns,,,,,,,,
8348060,berries,whipped/sour cream,,,,,,,,,,
4480622,citrus fruit,berries,UHT-milk,processed cheese,,,,,,,,
9811360,tropical fruit,whole milk,yogurt,,bottled beer,sparkling wine,,,,,,
4817041,hamburger meat,whole milk,frozen vegetables,rolls/buns,domestic eggs,soda,dishes,,,,,
3064126,hamburger meat,other vegetables,whole milk,frozen vegetables,,,,,,,,
1304332,whole milk,cream cheese ,soda,,coffee,long life bakery product,male cosmetics,shopping bags,,,,
9603937,fish,other vegetables,pastry,margarine,,,,,,,,
5859647,frankfurter,sausage,long life bakery product,waffles,,,,,,,,
4883715,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,
8099232,pastry,soda,,,,,,,,,,
7055890,other vegetables,red/blush wine,,,,,,,,,,
7362109,misc. beverages,,,,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit
4594231,frankfurter,sausage,citrus fruit,tropical fruit,,,,,,,,
2742837,sparkling wine,,,,,,,,,,,
6480320,specialty bar,,,,,,,,,,,
3183082,sausage,butter milk,rolls/buns,,,,,,,,,
6434391,curd cheese,,,,,,,,,,,
6265925,frankfurter,dessert,,,shopping bags,,,,,,,
2040001,whole milk,yogurt,beverages,brown bread,,,,,,,,
4929877,newspapers,,,,,,,,,,,
8998364,berries,soda,,,,,,,,,,
9365577,curd,flour,liquor (appetizer),,,,,,,,,
5114292,tropical fruit,other vegetables,coffee,,,,,,,,,
1714302,soda,,,,,,,,,,,
9356523,rolls/buns,Instant food products,,,,,,,,,,
7824054,canned beer,,,,,,,,,,,
4469004,canned beer,,,,margarine,,,,,,,
9945121,frankfurter,sausage,whole milk,rolls/buns,,,,,,,,
5279786,other vegetables,misc. beverages,canned beer,,,,,,,,,
3046534,whole milk,frozen vegetables,,,,,,,,,,
9785067,whole milk,,,,oil,margarine,newspapers,,,,,
1602813,citrus fruit,butter,cream cheese ,white bread,,,,,,,,
9705515,frankfurter,rolls/buns,,,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,
9374327,frankfurter,ham,pip fruit,other vegetables,detergent,,,,,,,
5628004,butter milk,yogurt,honey,soda,bottled water,dental care,,,,,,
2360923,hamburger meat,citrus fruit,onions,rolls/buns,,,,,,,,
4567608,pasta,popcorn,,,chocolate,shopping bags,,,,,,
8939398,other vegetables,whole milk,meat spreads,cake bar,white bread,dishes,candles,,,,,
9331714,sausage,pork,citrus fruit,dessert,,,,,,,,
3387505,rolls/buns,,,,yogurt,napkins,,,,,,
2139991,grapes,other vegetables,curd,dessert,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,
6129248,root vegetables,other vegetables,whole milk,yogurt,,,,,,,,
4216069,coffee,shopping bags,,,,,,,,,,
2038854,popcorn,,,,soda,,,,,,,
6984765,whole milk,rolls/buns,sugar,bottled water,snack products,,,,,,,
2623203,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,flower soil/fertilizer,,,,,,,
3207544,beef,herbs,flour,cling film/bags,,,,,,,,
5458151,whole milk,butter,dessert,rolls/buns,,,,,,,,
2949326,frankfurter,soda,chewing gum,,,,,,,,,
8278867,tropical fruit,specialty cheese,bottled water,,,,,,,,,
5252013,canned beer,,,,,,,,,,,
9539224,finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,
8249808,beverages,soda,,,,,,,,,,
4737776,hamburger meat,root vegetables,whole milk,,,,,,,,,
4689283,whole milk,pastry,long life bakery product,,,,,,,,,
1957871,finished products,white wine,shopping bags,,,,,,,,,
7069940,other vegetables,,,,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,
8854161,ham,tropical fruit,other vegetables,whole milk,,,,,,,,
8813751,other vegetables,,,,popcorn,,,,,,,
5272308,curd,butter milk,cocoa drinks,salty snack,,,,,,,,
7119515,bottled beer,,,,waffles,cake bar,chocolate,shopping bags,,,,
4737367,curd,dessert,soda,salty snack,,,,,,,,
9765154,whole milk,cream cheese ,cereals,dog food,,,,,,,,
1219641,whole milk,salt,,,,,,,,,,
5126375,dessert,ice cream,,,,,,,,,,
4255003,sausage,soft cheese,coffee,,shopping bags,,,,,,,
5870932,other vegetables,bottled water,waffles,dishes,,,,,,,,
1549280,ham,whole milk,rolls/buns,,,,,,,,,
7352140,other vegetables,ice cream,,,,,,,,,,
3800872,other vegetables,bottled water,,,,,,,,,,
9599453,soda,bottled beer,white wine,prosecco,,,,,,,,
1819703,herbs,candy,,,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese
8290662,frankfurter,ham,tropical fruit,pip fruit,,,,,,,,
6700747,rolls/buns,canned beer,,,cake bar,specialty bar,shopping bags,,,,,
7596512,curd,cream cheese ,semi-finished bread,zwieback,margarine,shopping bags,,,,,,
1473939,frankfurter,tropical fruit,whole milk,spread cheese,,,,,,,,
1777493,other vegetables,,,,,,,,,,,
3878271,dog food,,,,,,,,,,,
9894123,specialty bar,,,,shopping bags,,,,,,,
3651824,curd,salt,liquor (appetizer),detergent,,,,,,,,
8273114,frankfurter,rolls/buns,,,,,,,,,,
1279524,soda,,,,dessert,spread cheese,brown bread,,,,,
3217697,beef,berries,root vegetables,whole milk,,,,,,,,
6208874,canned beer,,,,spices,,,,,,,
5414286,pork,beef,pip fruit,herbs,sugar,,,,,,,
2620131,frankfurter,citrus fruit,UHT-milk,margarine,,,,,,,,
6207458,sausage,bottled beer,liquor (appetizer),,,,,,,,,
4704299,canned beer,,,,,,,,,,,
1203727,specialty chocolate,,,,,,,,,,,
7192716,curd,rolls/buns,,,,,,,,,,
3540186,canned beer,,,,,,,,,,,
8493112,whole milk,bottled water,newspapers,,,,,,,,,
1125849,rolls/buns,chewing gum,,,dishes,,,,,,,
1652611,pork,root vegetables,other vegetables,whole milk,,,,,,,,
2712861,citrus fruit,pastry,,,,,,,,,,
9356032,pot plants,,,,,,,,,,,
1825495,rolls/buns,pastry,soda,,make up remover,hygiene articles,,,,,,
5237511,butter,yogurt,bottled water,soda,,,,,,,,
3244972,condensed milk,sugar,coffee,shopping bags,shopping bags,,,,,,,
3127135,sausage,other vegetables,yogurt,soda,,,,,,,,
7848979,whole milk,beverages,UHT-milk,soda,rolls/buns,margarine,,,,,,
2650407,sausage,pork,beef,whole milk,,,,,,,,
3207306,beverages,,,,,,,,,,,
8658703,beverages,specialty bar,,,,,,,,,,
6532928,bottled water,fruit/vegetable juice,,,,,,,,,,
2318436,newspapers,,,,,,,,,,,
1906253,cleaner,female sanitary products,,,,,,,,,,
1955755,sausage,soda,newspapers,shopping bags,,,,,,,,
4656039,newspapers,,,,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware
1443902,sausage,beef,citrus fruit,other vegetables,,,,,,,,
3467628,misc. beverages,newspapers,,,,,,,,,,
8383255,white wine,,,,canned beer,shopping bags,,,,,,
5320020,sausage,sliced cheese,rolls/buns,soda,,,,,,,,
5471157,meat,curd,bottled beer,cake bar,oil,baking powder,tea,cling film/bags,,,,
1560952,frankfurter,meat,tropical fruit,onions,,,,,,,,
6001132,ice cream,rolls/buns,canned beer,,,,,,,,,
9400829,canned beer,,,,bottled water,shopping bags,,,,,,
5195340,tropical fruit,berries,root vegetables,other vegetables,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water
7814562,meat,citrus fruit,other vegetables,curd,,,,,,,,
4929694,whole milk,mustard,bottled water,,rolls/buns,spices,house keeping products,flower (seeds),,,,
5723292,sausage,beef,beverages,sliced cheese,curd,sliced cheese,rolls/buns,salty snack,long life bakery product,,,
9087574,frankfurter,sausage,root vegetables,butter,,,,,,,,
8390507,meat,other vegetables,butter,rolls/buns,detergent,,,,,,,
7547647,root vegetables,beverages,Instant food products,pickled vegetables,sliced cheese,rolls/buns,,,,,,
4169235,root vegetables,herbs,other vegetables,whole milk,,,,,,,,
9646697,whole milk,whipped/sour cream,semi-finished bread,margarine,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables
1224017,citrus fruit,whole milk,curd,dessert,sugar,candy,newspapers,,,,,
1994124,citrus fruit,curd,pastry,margarine,misc. beverages,bottled beer,red/blush wine,napkins,,,,
8817228,other vegetables,whole milk,bottled water,soda,,,,,,,,
8768765,citrus fruit,whole milk,rolls/buns,,,,,,,,,
5535806,sausage,oil,hygiene articles,napkins,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer,
3226559,frankfurter,beef,hamburger meat,grapes,,,,,,,,
3063319,hard cheese,rolls/buns,bottled water,newspapers,,,,,,,,
1970302,cream cheese ,rolls/buns,soda,chocolate,photo/film,,,,,,,
6825270,turkey,beef,frozen vegetables,dishes,soda,shopping bags,,,,,,
4500423,pork,other vegetables,whipped/sour cream,rolls/buns,,,,,,,,
2761878,whole milk,beverages,,,,,,,,,,
9210988,rolls/buns,soda,,,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles,,,
5271485,sausage,pip fruit,whole milk,curd,,,,,,,,
4234582,ice cream,,,,,,,,,,,
7322494,liquor,,,,,,,,,,,
2231177,pip fruit,other vegetables,fruit/vegetable juice,,,,,,,,,
6832305,root vegetables,other vegetables,yogurt,,,,,,,,,
6479636,soda,,,,,,,,,,,
9012470,soda,,,,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers,
1454812,sausage,citrus fruit,tropical fruit,other vegetables,,,,,,,,
2048096,root vegetables,whole milk,pet care,detergent,pastry,specialty bar,,,,,,
6744176,pork,berries,root vegetables,other vegetables,,,,,,,,
5619766,pork,,,,,,,,,,,
4518864,chocolate,,,,,,,,,,,
4540476,fruit/vegetable juice,,,,,,,,,,,
8312072,pickled vegetables,coffee,,,,,,,,,,
4817779,bottled water,,,,rolls/buns,margarine,spices,,,,,
5349658,frankfurter,sausage,butter,whipped/sour cream,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins
7206862,tropical fruit,pip fruit,onions,other vegetables,,,,,,,,
9500897,canned beer,,,,,,,,,,,
6436239,root vegetables,,,,whole milk,soda,,,,,,
1367309,meat,citrus fruit,berries,root vegetables,hygiene articles,,,,,,,
1977989,frankfurter,rolls/buns,bottled water,fruit/vegetable juice,,,,,,,,
4925521,tropical fruit,margarine,rum,,butter milk,whipped/sour cream,flour,hygiene articles,,,,
1026513,tropical fruit,root vegetables,herbs,whole milk,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles,
4544242,citrus fruit,pip fruit,root vegetables,other vegetables,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice,
1381936,hamburger meat,other vegetables,whole milk,curd,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles,
5985041,chicken,pip fruit,other vegetables,whole milk,whole milk,frozen fish,rolls/buns,,,,,
4389814,chicken,citrus fruit,tropical fruit,root vegetables,whole milk,rolls/buns,sugar,soda,,,,
6344144,frankfurter,citrus fruit,onions,other vegetables,,,,,,,,
4463771,canned beer,,,,,,,,,,,
2871911,turkey,pip fruit,salad dressing,pastry,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages,,
4918002,packaged fruit/vegetables,whole milk,curd,yogurt,,,,,,,,
5083024,pasta,,,,,,,,,,,
7363305,citrus fruit,tropical fruit,,,brown bread,pot plants,,,,,,
8025450,sausage,whole milk,yogurt,rolls/buns,waffles,,,,,,,
5183653,whole milk,frozen meals,pastry,fruit/vegetable juice,,,,,,,,
7804925,canned beer,,,,,,,,,,,
4695461,citrus fruit,sugar,sauces,,,,,,,,,
7280637,liquor (appetizer),,,,shopping bags,,,,,,,
6157631,citrus fruit,other vegetables,rolls/buns,salty snack,,,,,,,,
2543130,sausage,,,,oil,bottled water,canned beer,napkins,newspapers,,,
9063220,chicken,other vegetables,whole milk,vinegar,yogurt,whipped/sour cream,specialty cheese,flour,margarine,,,
8655954,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,oil,soda,,,,,
7277801,sausage,pork,other vegetables,dessert,whipped/sour cream,abrasive cleaner,,,,,,
5476014,beef,berries,root vegetables,whole milk,,,,,,,,
2802785,citrus fruit,packaged fruit/vegetables,yogurt,bottled water,,,,,,,,
3710312,UHT-milk,coffee,,,,,,,,,,
7786835,candy,,,,,,,,,,,
4403488,newspapers,,,,,,,,,,,
9675226,beef,citrus fruit,other vegetables,yogurt,,,,,,,,
7259569,sausage,rolls/buns,,,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles
3503732,frankfurter,beef,root vegetables,curd,,,,,,,,
6931857,canned beer,,,,,,,,,,,
8729453,bottled beer,,,,newspapers,,,,,,,
1417409,onions,soda,chewing gum,chocolate,candy,,,,,,,
1925875,tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,,,,,,,,
1934733,bottled water,white wine,,,soap,,,,,,,
9299792,beef,white bread,pastry,pasta,whole milk,yogurt,candy,abrasive cleaner,cleaner,,,
6354809,sausage,chicken,tropical fruit,root vegetables,,,,,,,,
4543836,hair spray,,,,shopping bags,,,,,,,
4300427,chicken,whole milk,spices,long life bakery product,sugar,cat food,,,,,,
3008031,pork,citrus fruit,brown bread,pastry,,,,,,,,
2020142,ice cream,,,,,,,,,,,
6933750,meat,hard cheese,bottled beer,,,,,,,,,
7468886,other vegetables,yogurt,brown bread,instant coffee,,,,,,,,
6858968,bottled water,cake bar,,,,,,,,,,
1537270,tropical fruit,soda,salty snack,,,,,,,,,
9649369,photo/film,,,,soda,canned beer,dishes,,,,,
6072326,sausage,citrus fruit,yogurt,coffee,,,,,,,,
4619468,grapes,root vegetables,,,,,,,,,,
7149301,domestic eggs,brown bread,photo/film,,,,,,,,,
5438626,rolls/buns,canned fish,canned beer,,,,,,,,,
6898567,tropical fruit,whole milk,,,,,,,,,,
7090866,chicken,,,,bottled water,,,,,,,
6763618,frankfurter,other vegetables,yogurt,brown bread,butter milk,cream cheese ,roll products ,margarine,misc. beverages,specialty chocolate,detergent,
2806817,berries,root vegetables,other vegetables,curd,,,,,,,,
1025170,margarine,hygiene articles,,,shopping bags,,,,,,,
3179347,tropical fruit,yogurt,rolls/buns,soda,rolls/buns,soda,misc. beverages,chocolate,candy,,,
6883530,ham,other vegetables,whipped/sour cream,hard cheese,,,,,,,,
6437260,hamburger meat,white bread,salty snack,,napkins,,,,,,,
4591168,yogurt,mayonnaise,rolls/buns,soda,,,,,,,,
5029635,soda,specialty chocolate,,,,,,,,,,
9115798,yogurt,,,,,,,,,,,
3899596,soda,,,,,,,,,,,
3494465,bottled water,,,,,,,,,,,
4147522,sausage,meat,hamburger meat,rubbing alcohol,pet care,soda,fruit/vegetable juice,waffles,,,,
6112636,citrus fruit,pip fruit,beverages,hard cheese,,,,,,,,
7472982,shopping bags,,,,,,,,,,,
9592786,newspapers,,,,frozen potato products,zwieback,specialty bar,dish cleaner,,,,
9555974,frankfurter,other vegetables,whole milk,curd,,,,,,,,
7109733,sausage,citrus fruit,whole milk,canned beer,,,,,,,,
9249953,frankfurter,rolls/buns,,,,,,,,,,
4366507,salt,salty snack,cookware,,,,,,,,,
9786572,oil,,,,pastry,soda,cake bar,chewing gum,,,,
5158755,curd,beverages,cream cheese ,rolls/buns,,,,,,,,
8851563,other vegetables,butter,specialty chocolate,,,,,,,,,
3875991,citrus fruit,,,,,,,,,,,
8763373,frankfurter,whole milk,butter milk,,mayonnaise,salty snack,,,,,,
7607413,root vegetables,whole milk,butter,processed cheese,,,,,,,,
8703636,tropical fruit,whole milk,frozen meals,bottled beer,,,,,,,,
2762769,beef,hamburger meat,pip fruit,,shopping bags,,,,,,,
2932372,berries,whipped/sour cream,cereals,waffles,,,,,,,,
7086955,canned beer,,,,,,,,,,,
1408806,whipped/sour cream,canned beer,red/blush wine,,candy,,,,,,,
2695275,root vegetables,domestic eggs,margarine,chocolate marshmallow,,,,,,,,
7903908,whole milk,soda,,,,,,,,,,
8593924,beef,,,,,,,,,,,
9396507,frozen vegetables,,,,,,,,,,,
5060843,rolls/buns,bottled beer,,,,,,,,,,
2807089,whole milk,hygiene articles,,,,,,,,,,
9489868,whole milk,,,,,,,,,,,
6309609,citrus fruit,whole milk,curd,soft cheese,,,,,,,,
9167850,pastry,fruit/vegetable juice,,,butter,processed cheese,white bread,brown bread,,,,
7254979,frankfurter,sausage,pork,pip fruit,domestic eggs,,,,,,,
4561241,tropical fruit,root vegetables,whole milk,whipped/sour cream,whipped/sour cream,pastry,napkins,,,,,
5022621,frankfurter,sausage,root vegetables,yogurt,whole milk,curd,curd cheese,cat food,specialty bar,detergent,,
1619988,berries,root vegetables,other vegetables,packaged fruit/vegetables,bottled beer,,,,,,,
5895083,rolls/buns,brown bread,pastry,coffee,frozen vegetables,specialty fat,coffee,,,,,
2750043,root vegetables,packaged fruit/vegetables,curd,dessert,,,,,,,,
2683431,yogurt,,,,,,,,,,,
1964170,other vegetables,bottled water,,,,,,,,,,
4504995,berries,white bread,,,,,,,,,,
1125329,berries,coffee,,,,,,,,,,
7722536,other vegetables,butter milk,frozen meals,bottled water,,,,,,,,
3017747,rolls/buns,newspapers,,,rolls/buns,pastry,waffles,hygiene articles,,,,
8974018,ham,citrus fruit,whole milk,whipped/sour cream,,,,,,,,
2940606,whole milk,frozen dessert,salty snack,napkins,,,,,,,,
3199288,tropical fruit,butter milk,rolls/buns,bottled water,,,,,,,,
4971746,bottled water,,,,,,,,,,,
4662927,butter milk,yogurt,,,,,,,,,,
4396901,newspapers,,,,,,,,,,,
5837479,coffee,,,,,,,,,,,
7150612,bottled beer,liquor,,,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags,
8983942,onions,butter,whipped/sour cream,hard cheese,dog food,salty snack,shopping bags,,,,,
6305001,hamburger meat,hard cheese,frozen meals,pasta,pastry,soap,shopping bags,,,,,
1565662,sausage,liver loaf,other vegetables,cream cheese ,,,,,,,,
9243128,hard cheese,pastry,napkins,,,,,,,,,
5664513,sausage,tropical fruit,condensed milk,rolls/buns,,,,,,,,
5970723,hamburger meat,,,,,,,,,,,
7946696,onions,whole milk,beverages,frozen dessert,,,,,,,,
4454730,coffee,,,,,,,,,,,
7827552,shopping bags,,,,soda,shopping bags,,,,,,
4355494,yogurt,rolls/buns,pastry,bottled water,,,,,,,,
4750086,soda,,,,,,,,,,,
4332316,sliced cheese,,,,,,,,,,,
6124131,sausage,whole milk,coffee,,,,,,,,,
7570022,yogurt,chocolate,,,,,,,,,,
3022046,domestic eggs,rolls/buns,dish cleaner,hygiene articles,,,,,,,,
8865403,whole milk,,,,,,,,,,,
4708401,meat,other vegetables,whole milk,whipped/sour cream,,,,,,,,
7579707,dish cleaner,bathroom cleaner,hygiene articles,napkins,,,,,,,,
3559550,other vegetables,red/blush wine,,,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags,,
4266933,whole milk,butter milk,yogurt,sliced cheese,,,,,,,,
8034273,other vegetables,whole milk,rolls/buns,Instant food products,,,,,,,,
3800058,tropical fruit,other vegetables,,,,,,,,,,
6146256,baking powder,bottled water,salty snack,chewing gum,,,,,,,,
1435456,specialty bar,,,,,,,,,,,
6626163,ice cream,,,,,,,,,,,
4754084,frankfurter,yogurt,,,,,,,,,,
5971400,canned beer,,,,,,,,,,,
1623882,bottled water,,,,bottled water,bottled beer,,,,,,
4506357,other vegetables,whole milk,rolls/buns,margarine,shopping bags,,,,,,,
7819574,citrus fruit,tropical fruit,onions,other vegetables,soda,softener,newspapers,,,,,
7778122,sausage,ham,hamburger meat,whole milk,,,,,,,,
2605236,domestic eggs,rolls/buns,specialty bar,napkins,other vegetables,curd,hygiene articles,,,,,
8428284,pork,citrus fruit,tropical fruit,root vegetables,fruit/vegetable juice,salty snack,,,,,,
3347143,specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,sparkling wine,,,,,,
7104710,pork,citrus fruit,pip fruit,yogurt,rolls/buns,,,,,,,
7339191,beef,berries,whipped/sour cream,domestic eggs,,,,,,,,
